
shopping_centre,Trgovački centar
sports,Trgovina sportskom opremom
stationery,Papirnica
supermarket,Supermarket
toys,Trgovina igračkama
travel_agency,Putnička agencija
video,Videoteka
wine,Vinoteka
alpine_hut,Alpska kuća
artwork,Umjetničko djelo
attraction,Atrakcija
bed_and_breakfast,'Noćenje i doručak'
cabin,Koliba
camp_site,Kamp
caravan_site,Kamp-kućice (mjesto)
chalet,Planinska kuća
guest_house,Apartman
hostel,Hostel
hotel,Hotel
information,Informacije
lean_to,Lean to
motel,Motel
museum,Muzej
picnic_site,Piknik-mjesto
theme_park,Tematski park
valley,Dolina
viewpoint,Vidikovac
zoo,Zoo
boatyard,Brodogradilište
canal,Kanal
connector,Spoj vodnih puteva
dam,Brana
derelict_canal,Zanemaren kanal
ditch,Jarak
dock,Dok
drain,Odvod
lock,Ustava
lock_gate,Ustava
mineral_spring,Mineralni izvor
mooring,Sidrište
rapids,Brzaci
river,Rijeka
riverbank,Riječna obala
stream,Potok
wadi,Suho korito rijeke
water_point,Točka vodotoka
waterfall,Vodopad
weir,Brana
